# Distance(Å)    Energy(eV)
2.500000 1.348399
2.575758 0.907708
2.651515 0.612641
2.727273 0.413558
2.803030 0.278365
2.878788 0.186078
2.954545 0.122840
3.030303 0.079409
3.106061 0.049569
3.181818 0.029105
3.257576 0.015137
3.333333 0.005683
3.409091 -0.000626
3.484848 -0.004743
3.560606 -0.007335
3.636364 -0.008869
3.712121 -0.009673
3.787879 -0.009979
3.863636 -0.009949
3.939394 -0.009700
4.015152 -0.009310
4.090909 -0.008838
4.166667 -0.008323
4.242424 -0.007790
4.318182 -0.007260
4.393939 -0.006743
4.469697 -0.006248
4.545455 -0.005779
4.621212 -0.005338
4.696970 -0.004927
4.772727 -0.004545
4.848485 -0.004191
4.924242 -0.003864
5.000000 -0.003564
5.075758 -0.003287
5.151515 -0.003033
5.227273 -0.002800
5.303030 -0.002585
5.378788 -0.002389
5.454545 -0.002209
5.530303 -0.002043
5.606061 -0.001892
5.681818 -0.001752
5.757576 -0.001624
5.833333 -0.001507
5.909091 -0.001399
5.984848 -0.001299
6.060606 -0.001208
6.136364 -0.001124
6.212121 -0.001046
6.287879 -0.000975
6.363636 -0.000909
6.439394 -0.000848
6.515152 -0.000792
6.590909 -0.000740
6.666667 -0.000691
6.742424 -0.000647
6.818182 -0.000606
6.893939 -0.000567
6.969697 -0.000532
7.045455 -0.000499
7.121212 -0.000468
7.196970 -0.000440
7.272727 -0.000413
7.348485 -0.000389
7.424242 -0.000366
7.500000 -0.000344
7.575758 -0.000324
7.651515 -0.000306
7.727273 -0.000288
7.803030 -0.000272
7.878788 -0.000257
7.954545 -0.000242
8.030303 -0.000229
8.106061 -0.000217
8.181818 -0.000205
8.257576 -0.000194
8.333333 -0.000184
8.409091 -0.000174
8.484848 -0.000165
8.560606 -0.000156
8.636364 -0.000148
8.712121 -0.000141
8.787879 -0.000134
8.863636 -0.000127
8.939394 -0.000121
9.015152 -0.000115
9.090909 -0.000109
9.166667 -0.000104
9.242424 -0.000099
9.318182 -0.000094
9.393939 -0.000090
9.469697 -0.000086
9.545455 -0.000082
9.621212 -0.000078
9.696970 -0.000074
9.772727 -0.000071
9.848485 -0.000068
9.924242 -0.000065
10.000000 -0.000062
